name,url,country,location,qs_ranking_preview,the_ranking_preview,arwu_ranking_preview,bachelor_from,bachelor_to,master_from,master_to,doctorate_from,doctorate_to,location_full,establishment_year,total_students,international_students,female_students,acceptance_rate,qs_rating,the_rating,rating_usa,iso3_code,country_name,iso2_code,gdp,unemployment_rate,school_enrollment_tert,adult_literacy_rate,heritage_year,economic_freedom_score
University of Adelaide,https://www.unipage.net/en/131/university_of_adelaide,AU,"Australia,Adelaide",,128.0,151.0,"20,938","56,785","22,206","47,500","25,062","25,062","Adelaide, Australia",1874.0,"21,515","10,715",49%,,#89,#128,,AUS,Australia,AU,1752193307380.34,4.072,104.64835357666,,2025.0,79.3
University of Science and Technology of China,https://www.unipage.net/en/13872/university_of_science_and_technology_of_china,CN,"China,Hefei",451.0,53.0,64.0,"3,539","4,249","4,084","8,171",,,"Hefei, China",1958.0,"36,651",833,,,#451,#53,,CHN,China,CN,18743803170827.2,4.571,76.8757843123403,96.7399978637695,2025.0,49.0
Delft University of Technology,https://www.unipage.net/en/484/delft_university_of_technology,NL,"Netherlands,Delft",49.0,56.0,151.0,"17,176","18,876","18,876","24,312",0,"16,950","Delft, Netherlands",1842.0,"18,743","5,623",31%,70%,#49,#56,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
Emory University,https://www.unipage.net/en/120/emory_university,US,"United States,Atlanta",196.0,98.0,101.0,"7,138","63,383","8,231","105,272",0,"67,462","Atlanta, United States",1836.0,"14,757","2,157",60%,11%,#196,#98,#27,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
Vanderbilt University,https://www.unipage.net/en/407/vanderbilt_university,US,"United States,Nashville",248.0,90.0,66.0,"52,766","61,601","39,988","68,482",,,"Nashville, United States",1873.0,"13,703","1,930",55%,7%,#248,#90,#30,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Göttingen,https://www.unipage.net/en/450/university_of_g_ttingen,DE,"Germany,Goettingen",252.0,,151.0,0,723,0,723,,,"Goettingen, Germany",1737.0,"30,773","4,000",,,,,,DEU,Germany,DE,4659929336890.62,3.406,78.5947494506836,,2025.0,71.6
Cardiff University,https://www.unipage.net/en/630/cardiff_university,GB,"United Kingdom,Cardiff",186.0,201.0,151.0,"12,380","97,716","7,812","67,130",0,"69,116","Cardiff, United Kingdom",1883.0,"27,510","6,480",59%,,#186,#226,,GBR,United Kingdom,GB,3643834188782.91,4.111,80.4987716674805,,2025.0,69.3
University of Virginia-Main Campus,https://www.unipage.net/en/669/university_of_virginia_main_campus,US,"United States,Virginia",297.0,163.0,201.0,"55,899","55,899","16,995","16,995",,,"Virginia, United States",1819.0,"25,741","3,431",52%,19%,#297,#163,#50,USA,United States,US,29184890000000.0,4.106,79.361930847168,,2025.0,70.2
University of Buenos Aires,https://www.unipage.net/en/626/university_of_buenos_aires,AR,"Argentina,Buenos Aires",71.0,,201.0,"1,000","1,000","1,000","1,000",,,"Buenos Aires, Argentina",1821.0,,,,,,,,ARG,Argentina,AR,633266692533.689,7.876,107.822574129434,99.1399993896484,2025.0,54.2
Vrije Universiteit Amsterdam,https://www.unipage.net/en/458/vrije_universiteit_amsterdam,NL,"Netherlands,Amsterdam",221.0,136.0,151.0,"4,678","17,515","1,249","27,041",0,"11,300","Amsterdam, Netherlands",1880.0,"30,822","4,797",57%,,#221,#136,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
Technion – Israel Institute of Technology,https://www.unipage.net/en/206/technion_israel_institute_of_technology,IL,"Israel,Haifa",416.0,401.0,79.0,"15,000","15,000",0,"13,000",,,"Haifa, Israel",1924.0,"14,703",735,38%,,#416,#451,,,,,,,,,,
Erasmus University Rotterdam,https://www.unipage.net/en/463/erasmus_university_rotterdam,NL,"Netherlands,Rotterdam",158.0,107.0,88.0,"2,615","16,385","2,496","81,359",0,"11,300","Rotterdam, Netherlands",1973.0,"31,149","7,164",53%,,#158,#107,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
Radboud University Nijmegen,https://www.unipage.net/en/436/radboud_university_nijmegen,NL,"Netherlands,Nijmegen",272.0,143.0,101.0,"12,995","18,560","9,322","27,018",,,"Nijmegen, Netherlands",1923.0,"25,356","3,165",56%,,#272,#143,,NLD,Netherlands,NL,1227543925316.41,3.599,86.5938262939453,,2025.0,78.2
University of Auckland,https://www.unipage.net/en/362/university_of_auckland,NZ,"New Zealand,Auckland",65.0,152.0,201.0,"19,762","57,257","10,691","48,386","4,522","31,859","Auckland, New Zealand",1883.0,"33,092","10,438",56%,,#65,#152,,NZL,New Zealand,NZ,260235932558.996,4.869,76.3811416625977,,2025.0,78.1
University of Paris-Sud,https://www.unipage.net/en/400/university_of_paris_sud,FR,"France,Paris",,,,212,212,293,293,,,"Paris, France",1971.0,"28,131","3,938",,100%,,,,FRA,France,FR,3162079073495.78,7.37,70.4536437988281,,2025.0,64.4
